order_id,product_id,qty,unit_price_at_sale
50001,1001,3,1854.01
50001,1103,3,80.63
50001,1147,4,61.13
50001,1166,4,42.73
50001,1192,5,211.97
50002,1024,2,178.31
50002,1084,2,49.16
50002,1092,2,84.26
50002,1185,3,2359.03
50003,1018,5,49.96
50003,1107,5,1599.68
50003,1108,5,177.83
50003,1188,3,33.13
50004,1100,4,1121.4
50005,1045,1,1359.78
50005,1065,2,158.42
50005,1118,5,13.07
50005,1180,4,1369.45
50006,1073,1,111.07
50006,1132,4,139.7
50007,1035,5,73.52
50007,1105,4,1929.12
50007,1168,2,50.81
50007,1176,4,18.68
50008,1032,4,85.48
50008,1095,3,99.02
50008,1111,4,1330.13
50008,1132,1,137.57
50009,1056,4,108.22
50009,1158,2,1319.53
50009,1172,2,109.71
50010,1063,1,97.07
50011,1037,5,62.95
50011,1049,2,66.52
50011,1079,5,117.86
50011,1107,5,1575.72
50012,1089,2,117.4
50012,1099,1,67.02
50012,1127,1,112.21
50013,1062,4,48.22
50013,1117,1,1540.94
50013,1169,2,19.79
50013,1196,2,881.04
50014,1014,2,29.99
50014,1131,3,59.77
50015,1153,2,69.24
50016,1032,3,71.3
50016,1056,1,113.84
50016,1114,3,5.36
50016,1139,2,1950.14
50017,1011,4,97.83
50017,1028,5,137.33
50017,1180,5,1538.75
50018,1091,3,1476.78
50018,1098,2,16.71
50018,1159,3,147.09
50018,1178,1,203.03
50019,1070,4,136.0
50019,1133,4,1449.06
50020,1018,2,49.45
50021,1077,2,68.01
50021,1156,4,516.79
50021,1191,5,243.45
50022,1006,1,32.71
50022,1032,1,79.39
50022,1152,3,71.34
50022,1153,1,1188.64
50022,1159,5,187.32
50023,1067,5,65.97
50023,1073,2,115.34
50023,1105,5,1812.01
50023,1133,1,1452.87
50023,1179,4,1838.56
50024,1057,2,57.0
50024,1130,4,18.58
50025,1018,4,49.61
50025,1097,5,617.64
50026,1003,1,2180.68
50026,1029,2,116.22
50027,1103,5,79.96
50027,1135,5,73.74
50028,1017,5,50.17
50028,1033,3,66.54
50028,1142,2,99.42
50028,1200,3,51.39
50029,1035,1,64.86
50029,1200,4,50.94
50030,1030,5,32.63
50030,1063,5,110.44
50030,1065,3,164.35
50030,1098,1,18.82
50030,1105,5,1988.45
50030,1173,2,110.75
50031,1041,3,2374.53
50031,1129,5,45.31
50031,1169,3,19.75
50032,1034,5,58.0
50032,1157,2,1617.0
50032,1192,2,194.88
50033,1026,5,242.75
50033,1159,4,173.7
50033,1185,5,2461.41
50034,1042,1,2139.62
50035,1081,1,1248.67
50035,1152,1,58.34
50036,1048,2,34.31
50036,1057,2,64.82
50036,1114,4,4.79
50036,1123,3,4.75
50036,1200,3,60.14
50037,1095,5,119.23
50037,1122,2,1291.69
50037,1166,2,47.78
50037,1186,3,8.52
50038,1106,2,119.69
50038,1114,5,6.37
50039,1122,3,1427.62
50039,1189,1,2176.39
50040,1024,1,170.53
50040,1197,4,1844.13
50041,1005,5,13.08
50041,1136,3,191.77
50041,1148,5,32.47
50041,1199,2,149.85
50042,1063,2,90.29
50042,1088,3,37.79
50042,1112,4,229.12
50042,1126,1,235.67
50042,1129,5,39.83
50043,1104,3,23.3
50044,1013,1,156.14
50044,1064,5,120.26
50044,1097,3,719.78
50045,1037,1,65.36
50045,1037,5,69.58
50045,1165,3,1515.96
50046,1012,5,227.17
50046,1013,3,155.39
50046,1122,1,1352.32
50046,1144,3,45.56
50047,1058,4,2100.63
50047,1076,5,94.92
50047,1108,4,171.1
50047,1155,4,222.72
50048,1002,4,145.09
50048,1018,4,41.87
50048,1052,1,741.24
50048,1122,1,1540.05
50049,1095,1,102.74
50049,1104,4,22.74
50049,1137,4,60.44
50050,1021,3,4.49
50050,1095,4,103.04
50050,1107,2,1718.69
50050,1174,4,112.99
50051,1036,4,19.82
50051,1197,3,1266.76
50052,1086,5,116.9
50052,1098,4,17.56
50053,1113,1,40.25
50054,1009,1,39.55
50054,1019,1,1916.53
50054,1127,1,113.59
50054,1144,3,34.54
50054,1169,4,17.5
50055,1004,2,2056.03
50055,1197,2,1659.12
50056,1162,4,49.14
50056,1199,4,138.89
50058,1030,2,39.3
50058,1199,5,162.78
50059,1024,5,166.2
50059,1040,4,682.29
50059,1043,2,50.51
50059,1056,3,95.64
50059,1144,2,44.84
50060,1047,5,1758.37
50060,1088,1,44.92
50060,1123,2,5.52
50061,1061,5,8.87
50061,1114,3,5.65
50062,1133,3,1529.73
50062,1150,3,13.26
50063,1077,4,59.21
50064,1031,2,68.47
50064,1045,2,1112.79
50064,1047,5,1705.09
50064,1065,1,164.28
50064,1101,1,951.7
50065,1062,4,45.32
